#Insert size (bp)	insert size
36.0	1.0
37.0	2.0
38.0	2.0
41.0	1.0
42.0	14.0
43.0	43.0
44.0	484.0
45.0	10666.0
46.0	44944.0
47.0	32551.0
48.0	29254.0
49.0	27508.0
50.0	26809.0
51.0	23458.0
52.0	19690.0
53.0	18732.0
54.0	18480.0
55.0	22338.0
56.0	27855.0
57.0	29754.0
58.0	30462.0
59.0	29424.0
60.0	28004.0
61.0	25910.0
62.0	25315.0
63.0	25300.0
64.0	24632.0
65.0	24442.0
66.0	15962.0
67.0	14939.0
68.0	13485.0
69.0	12386.0
70.0	11546.0
71.0	11635.0
72.0	12224.0
73.0	12988.0
74.0	13640.0
75.0	13939.0
76.0	13758.0
77.0	12925.0
78.0	12126.0
79.0	10491.0
80.0	10180.0
81.0	9595.0
82.0	9743.0
83.0	10483.0
84.0	11174.0
85.0	11461.0
86.0	11545.0
87.0	10903.0
88.0	10136.0
89.0	9240.0
90.0	8385.0
91.0	7989.0
92.0	8027.0
93.0	8418.0
94.0	8969.0
95.0	9126.0
96.0	9149.0
97.0	9131.0
98.0	8609.0
99.0	7949.0
100.0	7365.0
101.0	6843.0
102.0	6634.0
103.0	6828.0
104.0	7049.0
105.0	7348.0
106.0	7732.0
107.0	7495.0
108.0	7208.0
109.0	6641.0
110.0	6246.0
111.0	5781.0
112.0	5582.0
113.0	5564.0
114.0	5631.0
115.0	6040.0
116.0	6188.0
117.0	6128.0
118.0	6088.0
119.0	5712.0
120.0	5494.0
121.0	5266.0
122.0	5274.0
123.0	5034.0
124.0	4762.0
125.0	4857.0
126.0	4845.0
127.0	5192.0
128.0	5546.0
129.0	5639.0
130.0	5461.0
131.0	5384.0
132.0	5454.0
133.0	5142.0
134.0	4550.0
135.0	4087.0
136.0	4153.0
137.0	4208.0
138.0	4635.0
139.0	4885.0
140.0	5077.0
141.0	5106.0
142.0	5339.0
143.0	5029.0
144.0	4457.0
145.0	4391.0
146.0	4218.0
147.0	4238.0
148.0	4429.0
149.0	4876.0
150.0	5077.0
151.0	4922.0
152.0	4620.0
153.0	4550.0
154.0	4615.0
155.0	5022.0
156.0	5627.0
157.0	6765.0
158.0	7622.0
159.0	7999.0
160.0	7204.0
161.0	5876.0
162.0	5412.0
163.0	5151.0
164.0	5434.0
165.0	6088.0
166.0	7303.0
167.0	7897.0
168.0	8056.0
169.0	7890.0
170.0	7008.0
171.0	5935.0
172.0	5384.0
173.0	5122.0
174.0	5323.0
175.0	5706.0
176.0	6121.0
177.0	6732.0
178.0	6997.0
179.0	6855.0
180.0	6381.0
181.0	5985.0
182.0	5732.0
183.0	5609.0
184.0	5653.0
185.0	6055.0
186.0	6496.0
187.0	6694.0
188.0	6773.0
189.0	6424.0
190.0	6307.0
191.0	6042.0
192.0	6012.0
193.0	6114.0
194.0	6304.0
195.0	6601.0
196.0	6888.0
197.0	6947.0
198.0	6966.0
199.0	6466.0
200.0	6264.0
201.0	6380.0
202.0	6145.0
203.0	6435.0
204.0	6634.0
205.0	6693.0
206.0	6794.0
207.0	6638.0
208.0	6600.0
209.0	6249.0
210.0	6109.0
211.0	5917.0
212.0	5711.0
213.0	5801.0
214.0	5872.0
215.0	5877.0
216.0	5946.0
217.0	5887.0
218.0	5794.0
219.0	5730.0
220.0	5436.0
221.0	5313.0
222.0	5260.0
223.0	5140.0
224.0	5183.0
225.0	5234.0
226.0	5134.0
227.0	5101.0
228.0	4994.0
229.0	4855.0
230.0	4582.0
231.0	4602.0
232.0	4301.0
233.0	4166.0
234.0	4158.0
235.0	4132.0
236.0	4121.0
237.0	4140.0
238.0	3988.0
239.0	3906.0
240.0	3782.0
241.0	3751.0
242.0	3542.0
243.0	3437.0
244.0	3355.0
245.0	3353.0
246.0	3266.0
247.0	3315.0
248.0	3318.0
249.0	3224.0
250.0	3197.0
251.0	3072.0
252.0	2836.0
253.0	2715.0
254.0	2716.0
255.0	2637.0
256.0	2625.0
257.0	2605.0
258.0	2677.0
259.0	2624.0
260.0	2525.0
261.0	2432.0
262.0	2332.0
263.0	2456.0
264.0	2274.0
265.0	2239.0
266.0	2279.0
267.0	2165.0
268.0	2181.0
269.0	2153.0
270.0	2057.0
271.0	2182.0
272.0	1995.0
273.0	1998.0
274.0	2011.0
275.0	1846.0
276.0	1795.0
277.0	1861.0
278.0	1889.0
279.0	1851.0
280.0	1789.0
281.0	1859.0
282.0	1735.0
283.0	1764.0
284.0	1753.0
285.0	1679.0
286.0	1617.0
287.0	1617.0
288.0	1625.0
289.0	1719.0
290.0	1716.0
291.0	1686.0
292.0	1618.0
293.0	1601.0
294.0	1624.0
295.0	1469.0
296.0	1519.0
297.0	1517.0
298.0	1444.0
299.0	1474.0
300.0	1493.0
301.0	1600.0
302.0	1548.0
303.0	1500.0
304.0	1492.0
305.0	1438.0
306.0	1381.0
307.0	1415.0
308.0	1349.0
309.0	1396.0
310.0	1332.0
311.0	1430.0
312.0	1488.0
313.0	1483.0
314.0	1365.0
315.0	1433.0
316.0	1408.0
317.0	1386.0
318.0	1345.0
319.0	1452.0
320.0	1414.0
321.0	1514.0
322.0	1412.0
323.0	1416.0
324.0	1495.0
325.0	1400.0
326.0	1376.0
327.0	1351.0
328.0	1328.0
329.0	1358.0
330.0	1400.0
331.0	1432.0
332.0	1434.0
333.0	1414.0
334.0	1436.0
335.0	1473.0
336.0	1482.0
337.0	1449.0
338.0	1364.0
339.0	1384.0
340.0	1338.0
341.0	1379.0
342.0	1432.0
343.0	1402.0
344.0	1396.0
345.0	1472.0
346.0	1445.0
347.0	1398.0
348.0	1398.0
349.0	1397.0
350.0	1452.0
351.0	1436.0
352.0	1424.0
353.0	1431.0
354.0	1388.0
355.0	1382.0
356.0	1440.0
357.0	1420.0
358.0	1421.0
359.0	1406.0
360.0	1420.0
361.0	1427.0
362.0	1491.0
363.0	1429.0
364.0	1431.0
365.0	1362.0
366.0	1412.0
367.0	1392.0
368.0	1376.0
369.0	1420.0
370.0	1303.0
371.0	1418.0
372.0	1377.0
373.0	1350.0
374.0	1439.0
375.0	1359.0
376.0	1345.0
377.0	1347.0
378.0	1372.0
379.0	1319.0
380.0	1348.0
381.0	1289.0
382.0	1286.0
383.0	1294.0
384.0	1248.0
385.0	1381.0
386.0	1277.0
387.0	1266.0
388.0	1286.0
389.0	1248.0
390.0	1256.0
391.0	1284.0
392.0	1176.0
393.0	1215.0
394.0	1207.0
395.0	1199.0
396.0	1126.0
397.0	1178.0
398.0	1137.0
399.0	1131.0
400.0	1083.0
401.0	1098.0
402.0	1110.0
403.0	1075.0
404.0	1108.0
405.0	1027.0
406.0	1057.0
407.0	1035.0
408.0	992.0
409.0	955.0
410.0	987.0
