#Position (bp)	Coverage
3874689.0	0.13002400063901912
1.1624066E7	0.10701208626190209
1.9373443E7	0.10930581903551731
2.712282E7	0.18943948655485468
3.4872197E7	0.11776920906028962
4.2621574E7	0.1470839526841964
5.0370951E7	0.06624648665305612
5.8120328E7	0.04677072750493362
6.5869705E7	0.04814761238225989
7.3619082E7	0.022769314230034234
8.1368459E7	0.031016428804534868
8.9117836E7	0.06442866310414373
9.6867213E7	0.04497768014125523
1.0461659E8	0.022418189229921323
1.12365967E8	0.12018488712060338
1.20115344E8	0.04073011288520355
1.27864721E8	1.9640288503191934E-4
1.35614098E8	0.0
1.43363475E8	0.027704162541066203
1.51112852E8	0.15329877485635296
1.58862229E8	0.16511456340296773
1.66611606E8	0.059716026204429076
1.74360983E8	0.051461814285199955
1.8211036E8	0.07829390672308238
1.89859737E8	0.023191799805326287
1.97609114E8	0.0391341136197142
2.05358491E8	0.12150086387589609
2.13107868E8	0.05189862359258041
2.20857245E8	0.04967186394467581
2.28606622E8	0.10170224006394321
2.36355999E8	0.056546093963424415
2.44105376E8	0.05962195412611879
2.484682435E8	0.0858742387525887
2.52342932E8	0.07454135297715835
2.5960413E8	0.051213278177071525
2.67353507E8	0.05255751526864676
2.75102884E8	0.055079008286730666
2.82852261E8	0.046037507273165315
2.90601638E8	0.04004489651232609
2.98351015E8	0.03741784662173488
3.06100392E8	0.01893584477823185
3.13849769E8	0.04268704439079425
3.21599146E8	0.12309544367243973
3.29348523E8	0.04288447961687759
3.370979E8	0.0570967188717235
3.44847277E8	0.08082804591904613
3.52596654E8	0.10705905777974152
3.60346031E8	0.05353849735275494
3.68095408E8	0.04993446569962979
3.75844785E8	0.05096332259999739
3.81236659E8	0.09275892763277793
3.851113475E8	0.18292723275431674
3.91343539E8	0.0823386189625308
3.99092916E8	0.0638611336111277
4.06842293E8	0.016450612739578936
4.1459167E8	0.0512050194486602
4.22341047E8	0.01568706748942528
4.30090424E8	0.07721988490171533
4.37839801E8	0.02647412817830388
4.45589178E8	0.27750811452327073
4.53338555E8	0.13913273286355793
4.61087932E8	0.05994804485573486
4.68837309E8	0.04158695595787894
4.76586686E8	0.0398682371499025
4.84336063E8	0.025352360583308826
4.9208544E8	0.05019526085774379
4.99834817E8	0.0937141140507166
5.07584194E8	0.07089524745021439
5.146496745E8	0.04092291192907591
5.178906245E8	0.00986881454603453
5.18574521E8	0.10665518979831587
5.23082948E8	0.12108624990112109
