#Coverage	Number of genomic locations
0.0	3.023059506E9
1.0	5.2409376E7
2.0	1.1054956E7
3.0	3680640.0
4.0	2119078.0
5.0	1364445.0
6.0	960884.0
7.0	713048.0
8.0	548987.0
9.0	441834.0
10.0	365958.0
11.0	308803.0
12.0	265209.0
13.0	231138.0
14.0	203144.0
15.0	182440.0
16.0	164802.0
17.0	149702.0
18.0	136492.0
19.0	124678.0
20.0	113231.0
21.0	104091.0
22.0	96408.0
23.0	88113.0
24.0	81244.0
25.0	74813.0
26.0	68994.0
27.0	64398.0
28.0	58816.0
29.0	53940.0
30.0	50329.0
31.0	46271.0
32.0	42477.0
33.0	38353.0
34.0	34448.0
35.0	30537.0
36.0	27444.0
37.0	24591.0
38.0	21899.0
39.0	19771.0
40.0	17218.0
41.0	15548.0
42.0	13449.0
43.0	12154.0
44.0	10216.0
45.0	8848.0
46.0	7709.0
47.0	6667.0
48.0	5630.0
49.0	4651.0
50.0	4005.0
51.0	3437.0
52.0	2856.0
53.0	2297.0
54.0	1992.0
55.0	1604.0
56.0	1426.0
57.0	1168.0
58.0	942.0
59.0	731.0
60.0	555.0
61.0	446.0
62.0	359.0
63.0	357.0
64.0	272.0
65.0	178.0
66.0	138.0
67.0	116.0
68.0	96.0
69.0	63.0
70.0	68.0
71.0	43.0
72.0	27.0
73.0	26.0
74.0	32.0
75.0	20.0
76.0	15.0
77.0	10.0
78.0	19.0
79.0	17.0
80.0	9.0
81.0	4.0
82.0	7.0
83.0	1.0
84.0	1.0
85.0	3.0
