#Mapping quality	mapping quality
20.0	34438.0
21.0	51663.0
22.0	59681.0
23.0	52474.0
24.0	79384.0
25.0	120389.0
26.0	21944.0
27.0	268904.0
28.0	24354.0
29.0	22090.0
30.0	195977.0
31.0	39778.0
32.0	27607.0
33.0	57978.0
34.0	25409.0
35.0	38237.0
36.0	35272.0
37.0	36757.0
38.0	24378.0
39.0	55537.0
40.0	2470299.0
41.0	102539.0
42.0	90420.0
43.0	92860.0
44.0	101603.0
45.0	111939.0
46.0	122988.0
47.0	99644.0
48.0	142691.0
49.0	110923.0
50.0	239107.0
51.0	156524.0
52.0	145239.0
53.0	228061.0
54.0	118366.0
55.0	342276.0
56.0	155253.0
57.0	205202.0
58.0	223303.0
59.0	215394.0
60.0	6.994433E7
