#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	5.3914168643519514E-6
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	5.3914168643519514E-6
21.0	1.0782833728703903E-5
22.0	5.3914168643519514E-6
23.0	2.695708432175976E-5
24.0	5.3914168643519514E-6
25.0	1.6174250593055853E-5
26.0	1.0782833728703903E-5
27.0	2.1565667457407806E-5
28.0	0.0
29.0	1.6174250593055853E-5
30.0	4.852275177916756E-5
31.0	3.7739918050463665E-5
32.0	1.1321975415139098E-4
33.0	2.749622600819496E-4
34.0	6.092301056717706E-4
35.0	0.0011591546258356694
36.0	0.002577097261160233
37.0	0.004830709510459348
38.0	0.007601897778736252
39.0	0.01130040974768169
40.0	0.01508518438645676
41.0	0.018977787362518865
42.0	0.022886564589174034
43.0	0.025102436920422688
44.0	0.028234850118611172
45.0	0.02948026741427647
46.0	0.03004097476816907
47.0	0.030019409100711665
48.0	0.02995471209833944
49.0	0.03000323485011861
50.0	0.028968082812163037
51.0	0.031108475307310764
52.0	0.02476816907483286
53.0	0.027242829415570415
54.0	0.026514988138882895
55.0	0.02570627560923011
56.0	0.025695492775501403
57.0	0.026137588958378262
58.0	0.024989217166271303
59.0	0.025291136510675005
60.0	0.024363812810006467
61.0	0.02441233556178564
62.0	0.02393789087772267
63.0	0.02324778951908562
64.0	0.02328552943713608
65.0	0.022945870174681908
66.0	0.022466034073754585
67.0	0.022390554237653654
68.0	0.021614190209186975
69.0	0.021290705197325857
70.0	0.02147401337071382
71.0	0.021150528358852706
72.0	0.019538494716411472
73.0	0.018913090360146646
74.0	0.017748544317446626
75.0	0.017096182876860037
76.0	0.015920854000431316
77.0	0.014082380849687296
78.0	0.013155057149018764
79.0	0.011693983178779382
80.0	0.009995686866508518
81.0	0.008690963985335348
82.0	0.006787793832219107
83.0	0.00549924520163899
84.0	0.004108259650636187
85.0	0.003051541945223205
86.0	0.0022374379987060602
87.0	0.0014988138882898428
88.0	9.381065343972398E-4
89.0	7.440155272805695E-4
90.0	3.720077636402846E-4
91.0	1.8869959025231834E-4
92.0	1.4017683847315074E-4
93.0	6.469700237222342E-5
94.0	2.695708432175976E-5
95.0	2.695708432175976E-5
96.0	0.0
97.0	5.3914168643519514E-6
98.0	0.0
99.0	0.0
100.0	1.0782833728703903E-5
