#Coverage (X)	Coverage
1.0	2.4741090164012434
2.0	0.7833480240523158
3.0	0.42670786148038076
4.0	0.30796799060537694
5.0	0.23960513846715514
6.0	0.19558724399335858
7.0	0.16458849320929403
8.0	0.1415850950373283
9.0	0.12387441279400946
10.0	0.1096205569134554
11.0	0.09781451077320469
12.0	0.08785232258152575
13.0	0.07929650554565626
14.0	0.07183984141271083
15.0	0.06528628215968979
16.0	0.059400647584610056
17.0	0.05408402650785149
18.0	0.04925454137762131
19.0	0.044851219548959875
20.0	0.04082902514228692
21.0	0.03717611849587854
22.0	0.033818074270072884
23.0	0.030707888685142848
24.0	0.027865305264214157
25.0	0.025244320307962198
26.0	0.02283080364787793
27.0	0.020605011760821412
28.0	0.018527489861199342
29.0	0.01663004695849679
30.0	0.014889907027665572
31.0	0.01326626033544187
32.0	0.011773527396258032
33.0	0.0104031913962217
34.0	0.009165898352705426
35.0	0.008054583181461794
36.0	0.007069439446425463
37.0	0.006184077928779175
38.0	0.005390756070440261
39.0	0.004684279905347921
40.0	0.004046454421995804
41.0	0.0034909904003228576
42.0	0.0029894016787039845
43.0	0.0025555280797107116
44.0	0.0021634320337540203
45.0	0.0018338571443763385
46.0	0.0015484148361082362
47.0	0.0012997174181066384
48.0	0.0010846356064888596
49.0	9.030080979499644E-4
50.0	7.529637742891282E-4
51.0	6.237598361593655E-4
