#Position (bp)	insert size
3874689.0	141.45705265112824
1.1624066E7	144.59908035909788
1.9373443E7	147.0360155743024
2.712282E7	142.00559724443352
3.4872197E7	141.44169226196374
4.2621574E7	145.45381748989138
5.0370951E7	150.56765792715115
5.8120328E7	150.77783325012481
6.5869705E7	158.55666100461053
7.3619082E7	164.2872503840246
8.1368459E7	159.20987189148454
8.9117836E7	157.45438121047877
9.6867213E7	155.40191511387164
1.0461659E8	159.0492994291645
1.12365967E8	147.75276109281148
1.20115344E8	152.22241280731848
1.27864721E8	173.52941176470588
1.35614098E8	0.0
1.43363475E8	155.41996630160068
1.51112852E8	144.89612367679538
1.58862229E8	145.39764390519187
1.66611606E8	153.2434595860992
1.74360983E8	155.07951971001359
1.8211036E8	149.05288246685535
1.89859737E8	158.67551326990485
1.97609114E8	154.2481382186476
2.05358491E8	143.73415172149228
2.13107868E8	150.8491795909193
2.20857245E8	153.05045763905187
2.28606622E8	148.60799816660938
2.36355999E8	153.58345368269033
2.44105376E8	149.98356807511738
2.484682435E8	148.86314655172413
2.52342932E8	150.8685387229476
2.5960413E8	155.83845278725823
2.67353507E8	154.72543801286315
2.75102884E8	154.557342361405
2.82852261E8	155.41592920353983
2.90601638E8	152.3033381712627
2.98351015E8	158.05823730924945
3.06100392E8	159.63686806411837
3.13849769E8	159.70155355682746
3.21599146E8	145.2155915506299
3.29348523E8	153.0663404023926
3.370979E8	152.44555464926592
3.44847277E8	148.82381776239907
3.52596654E8	144.58023078597867
3.60346031E8	154.01394943330428
3.68095408E8	152.01539897340177
3.75844785E8	150.70794232089722
3.81236659E8	138.19274012206876
3.851113475E8	144.99780104712042
3.91343539E8	151.34759206798867
3.99092916E8	150.6782133090246
4.06842293E8	157.9299363057325
4.1459167E8	156.04551661356396
4.22341047E8	166.94139465875372
4.30090424E8	145.29366515837103
4.37839801E8	148.332892998679
4.45589178E8	143.65381060415092
4.53338555E8	145.03481754268498
4.61087932E8	140.0356016223524
4.68837309E8	152.62637053696935
4.76586686E8	153.39281507656065
4.84336063E8	163.71164510166358
4.9208544E8	154.88394313679794
4.99834817E8	148.1333914559721
5.07584194E8	150.5666721338363
5.146496745E8	149.4069847856155
5.178906245E8	98.27272727272727
5.18574521E8	152.14161656646627
5.23082948E8	146.06015978438734
5.30832325E8	150.94194728020722
5.38581702E8	164.257804632427
5.46331079E8	154.54541925465838
5.54080456E8	164.0053085600531
5.61829833E8	154.8967077155064
5.6957921E8	141.87643641058747
5.77328587E8	141.19325218876787
5.85077964E8	150.5724569047168
5.92827341E8	160.04652730950775
6.00576718E8	176.04096834264433
6.08326095E8	154.27703677000721
6.16075472E8	155.923048396069
6.23824849E8	149.42032622333753
6.31574226E8	147.11222207604263
6.39323603E8	145.9288868927315
6.4707298E8	148.68177697189483
6.5108188E8	136.101593625498
6.549565685E8	0.0
6.62571734E8	0.0
6.70321111E8	155.04983388704318
6.78070488E8	149.9406015037594
6.85819865E8	152.3732028143163
6.93569242E8	155.41340400068387
7.01318619E8	152.74608197709463
7.09067996E8	164.7888888888889
7.16817373E8	165.87673611111111
7.2456675E8	157.01640488656196
7.32316127E8	161.9641959798995
7.40065504E8	164.4002047082907
7.47814881E8	151.07524613220815
7.55564258E8	158.106116048092
7.62509683E8	152.02937878448083
7.663843715E8	0.0
7.71063012E8	0.0
7.78812389E8	161.0
7.86561766E8	145.65239984882842
7.94311143E8	156.7969195664575
8.0206052E8	153.63674372848007
8.09809897E8	160.41427463149728
8.17559274E8	148.24550419608366
8.25308651E8	154.66380894060012
8.33058028E8	152.01567877629063
8.40807405E8	143.9214000614062
8.48556782E8	156.04749841671943
8.56306159E8	148.16968863323746
8.64055536E8	147.10929185427753
8.70277181E8	144.26215524594826
8.72724992E8	150.875
8.72931433E8	189.8987341772152
8.731340445E8	241.0
8.73326804E8	174.6769230769231
8.73441596E8	159.0
8.73480431E8	241.5
8.735866135E8	153.8181818181818
8.73694888E8	81.66666666666667
8.746981795E8	0.0
8.7955429E8	0.0
8.87303667E8	134.33333333333334
8.95053044E8	162.1006289308176
9.02802421E8	154.62767607818802
9.10551798E8	148.79323770491803
9.18301175E8	148.8943670218995
9.26050552E8	154.01087883959045
9.33799929E8	152.87984427534948
9.41549306E8	146.6842400448682
9.49298683E8	146.35718698517297
9.5704806E8	148.80797720797722
9.64797437E8	145.61234500613162
9.72190036E8	154.1745527986151
9.759320705E8	159.46428571428572
9.762888485E8	149.0292207792208
9.80296191E8	140.39029563834018
9.88045568E8	142.94876744876746
9.95794945E8	145.9162544772301
1.003544322E9	145.00322320709105
1.011293699E9	145.15803571428572
1.019043076E9	163.8095238095238
1.026792453E9	143.3811649659864
1.03454183E9	144.47174447174447
1.042291207E9	143.32784431137725
1.050040584E9	146.23411705852928
1.057789961E9	147.79343389529726
1.0640795945E9	147.61472868217055
1.067430919E9	45.0
1.0688906625E9	153.98757763975155
1.073288715E9	146.35167872939283
1.081038092E9	149.02796882164145
1.088787469E9	145.17168280554827
1.096536846E9	143.73177911221006
1.104286223E9	148.13713456817675
1.1120356E9	142.1866593299095
1.119784977E9	142.83566394451282
1.127534354E9	148.27227055507905
1.135283731E9	148.00044252682818
1.143033108E9	143.91739401496258
1.149266268E9	144.01464052287582
1.151717535E9	158.56296296296296
1.15195075E9	172.13333333333333
1.152147445E9	222.28571428571428
1.153430447E9	149.71580188679246
1.158531862E9	153.2202032043767
1.166281239E9	150.37729454956227
1.174030616E9	152.82918263090676
1.181779993E9	155.62680052378875
1.18952937E9	153.0594495412844
1.197278747E9	156.66706231454006
1.205028124E9	148.21772690976843
1.212777501E9	149.97177860424415
1.220526878E9	168.2837729816147
1.228276255E9	149.5298245614035
1.2323639745E9	133.8727506426735
1.236238663E9	140.20749785600523
1.243775009E9	137.85953781512606
1.251524386E9	138.45225791956864
1.259273763E9	142.8300624442462
1.26702314E9	144.8776337115073
1.274772517E9	140.6311084624553
1.282521894E9	138.2820923017258
1.288795602E9	142.06833997967004
1.291282149E9	169.0
1.2913856925E9	0.0
1.2914655495E9	206.0
