#Position (bp)	mapping quality
3874689.0	58.5448297918095
1.1624066E7	59.24684849515084
1.9373443E7	58.64922557323412
2.712282E7	59.219764181401644
3.4872197E7	59.48936209188108
4.2621574E7	59.35540582786251
5.0370951E7	59.43107207488753
5.8120328E7	59.52720646734249
6.5869705E7	59.392453608870056
7.3619082E7	59.417148351941876
8.1368459E7	59.17012826663102
8.9117836E7	59.290594089128376
9.6867213E7	59.391237501457944
1.0461659E8	59.360172048673974
1.12365967E8	59.57967978603922
1.20115344E8	55.475855863322344
1.27864721E8	53.04938271604938
1.35614098E8	0.0
1.43363475E8	51.48558628749513
1.51112852E8	57.916031459097354
1.58862229E8	59.10640107185036
1.66611606E8	59.20781605524729
1.74360983E8	59.35251992221402
1.8211036E8	59.49504864918259
1.89859737E8	59.38169621668372
1.97609114E8	59.47227837943754
2.05358491E8	58.91480417156797
2.13107868E8	59.51415445218457
2.20857245E8	59.16317010600048
2.28606622E8	59.44894821949508
2.36355999E8	59.31743344281216
2.44105376E8	59.25502855116589
2.484682435E8	59.087106265538395
2.52342932E8	59.48147253189815
2.5960413E8	59.44438893811149
2.67353507E8	59.31695435244642
2.75102884E8	59.24324008012424
2.82852261E8	59.128703351398045
2.90601638E8	58.71542655164151
2.98351015E8	56.37456747404844
3.06100392E8	59.56370627819271
3.13849769E8	59.0515841976988
3.21599146E8	59.35835122738238
3.29348523E8	58.949589590943944
3.370979E8	58.804279675412076
3.44847277E8	59.246526816518866
3.52596654E8	59.63500097072429
3.60346031E8	59.55282674335656
3.68095408E8	59.415894333224145
3.75844785E8	59.510167717323036
3.81236659E8	59.082477391797646
3.851113475E8	58.97450341392761
3.91343539E8	59.45738058461807
3.99092916E8	59.399944518419886
4.06842293E8	59.14180684625338
4.1459167E8	59.547641609504275
4.22341047E8	58.9344473806933
4.30090424E8	59.21030837930778
4.37839801E8	59.50273254568984
4.45589178E8	59.43915320433162
4.53338555E8	58.90060406747943
4.61087932E8	59.333104651623906
4.68837309E8	59.05043409260642
4.76586686E8	59.511018937489524
4.84336063E8	59.123274756768986
4.9208544E8	59.38159626095938
4.99834817E8	59.45426802640705
5.07584194E8	59.5077885067648
5.146496745E8	59.5199646529792
5.178906245E8	46.0
5.18574521E8	58.58842203303118
5.23082948E8	58.786650185904584
5.30832325E8	59.229721400972984
5.38581702E8	58.796602913317564
5.46331079E8	58.957821742605915
5.54080456E8	58.075419618564425
5.61829833E8	59.13487715247319
5.6957921E8	59.47682347305452
5.77328587E8	59.5157097188532
5.85077964E8	59.29733078310967
5.92827341E8	59.317143316982374
6.00576718E8	59.16091801362676
6.08326095E8	59.304057893998774
6.16075472E8	59.16597134117391
6.23824849E8	59.50874586541808
6.31574226E8	59.182858399965234
6.39323603E8	59.02379463030104
6.4707298E8	58.82543568720671
6.5108188E8	59.597677734772866
6.549565685E8	0.0
6.62571734E8	0.0
6.70321111E8	58.638219556252345
6.78070488E8	59.376614588205946
6.85819865E8	59.46581432717896
6.93569242E8	59.192638129009865
7.01318619E8	59.424780233493244
7.09067996E8	59.1281106683708
7.16817373E8	58.51081762426158
7.2456675E8	59.492354412290105
7.32316127E8	59.141478370992466
7.40065504E8	59.13570662663521
7.47814881E8	59.33875129389785
7.55564258E8	59.61479335609993
7.62509683E8	59.14968704644412
7.663843715E8	0.0
7.71063012E8	0.0
7.78812389E8	0.0
7.86561766E8	59.143439809470486
7.94311143E8	59.08130894375124
8.0206052E8	58.83269763781895
8.09809897E8	59.0638274815778
8.17559274E8	59.359799637642546
8.25308651E8	59.53949861506136
8.33058028E8	59.42746090144297
8.40807405E8	59.40997928961703
8.48556782E8	59.11753822569348
8.56306159E8	59.418460843705816
8.64055536E8	59.50120227098815
8.70277181E8	58.49062951345831
8.72724992E8	31.0
8.72931433E8	41.44659231722429
8.731340445E8	52.955555555555556
8.73326804E8	34.64325431665203
8.73441596E8	0.0
8.73480431E8	54.888888888888886
8.735866135E8	38.736507936507934
8.73694888E8	45.833333333333336
8.746981795E8	0.0
8.7955429E8	0.0
8.87303667E8	49.77777777777778
8.95053044E8	52.50721940214326
9.02802421E8	57.337107893178064
9.10551798E8	59.17532799310866
9.18301175E8	59.14600610981201
9.26050552E8	59.30271493999148
9.33799929E8	59.340522924227834
9.41549306E8	59.43004021610153
9.49298683E8	59.09101384960709
9.5704806E8	58.971986306532166
9.64797437E8	59.41027585526408
9.72190036E8	59.157175520703085
9.759320705E8	37.093401885175666
9.762888485E8	56.720414355969446
9.80296191E8	58.99445323247635
9.88045568E8	58.61250938401359
9.95794945E8	57.34103744466198
1.003544322E9	58.71291383787946
1.011293699E9	56.84272605691359
1.019043076E9	57.97165761572278
1.026792453E9	59.382330500438826
1.03454183E9	59.368863748916674
1.042291207E9	59.46965810545052
1.050040584E9	58.510015413472246
1.057789961E9	59.62426015925417
1.0640795945E9	58.98046370218769
1.067430919E9	54.0
1.0688906625E9	58.53441201843163
1.073288715E9	59.306995243018385
1.081038092E9	58.70076181778857
1.088787469E9	57.746592625906544
1.096536846E9	58.82327944796808
1.104286223E9	58.720698570999836
1.1120356E9	58.677808635067194
1.119784977E9	59.50969012477123
1.127534354E9	59.14196042398522
1.135283731E9	58.39214664194834
1.143033108E9	59.33598510576168
1.149266268E9	59.32060056054721
1.151717535E9	39.07006966773848
1.15195075E9	48.225
1.152147445E9	21.333333333333332
1.153430447E9	58.27019301307834
1.158531862E9	59.42508215253832
1.166281239E9	58.215499201577245
1.174030616E9	59.14702292935228
1.181779993E9	59.10380044124973
1.18952937E9	59.369454869870175
1.197278747E9	59.45261102735833
1.205028124E9	59.35775288469637
1.212777501E9	59.48283978248002
1.220526878E9	59.17213553816114
1.228276255E9	59.560189818106075
1.2323639745E9	59.57629104924607
1.236238663E9	59.37539014848079
1.243775009E9	59.15814576906876
1.251524386E9	59.26679761425524
1.259273763E9	59.11822854883353
1.26702314E9	59.42869633681419
1.274772517E9	59.37441085466351
1.282521894E9	59.256555234639805
1.288795602E9	59.22589720011619
1.291282149E9	43.22222222222222
1.2913856925E9	0.0
1.2914655495E9	0.0
1.2915628205E9	0.0
1.2916163385E9	22.488888888888887
1.2916575315E9	25.0
1.291766658E9	39.629629629629626
1.291875052E9	39.79051987767584
1.291916283E9	40.242592592592594
1.2930415505E9	59.62197575164465
1.298020648E9	59.505448317168764
1.305770025E9	59.38860412444868
1.313519402E9	59.48347503648644
1.321268779E9	59.443113047688215
1.329018156E9	59.11991392084278
1.336767533E9	59.48425496724772
1.34451691E9	59.35490867579909
1.352266287E9	59.395436117787
1.360015664E9	59.38608533483467
1.367765041E9	59.52333354691271
1.375514418E9	58.00409937998543
1.383263795E9	56.01456888794792
1.391013172E9	58.72480116317138
1.398762549E9	58.572846553349066
1.406511926E9	57.03702592414786
1.414261303E9	59.08289387085218
1.42201068E9	58.2160965389788
1.429760057E9	59.426161275753046
1.437509434E9	59.46538043559168
1.445258811E9	59.368076844471695
1.453008188E9	59.35195348809672
1.460757565E9	59.26007748098171
1.468506942E9	59.338693812889524
1.476256319E9	59.3661274427325
1.484005696E9	59.5007163044266
1.491755073E9	59.11563895388889
1.49950445E9	59.299544226873735
1.507253827E9	59.454032477837806
1.515003204E9	59.511205380328285
1.522752581E9	59.287523818866624
1.53037897E9	59.45261300779438
1.5342536585E9	60.0
1.538251335E9	59.349571953192346
1.546000712E9	59.51138833166165
1.553750089E9	59.52614408086853
1.561499466E9	57.187555440567714
1.569248843E9	59.29404244768103
1.57699822E9	59.496208354616314
1.584747597E9	59.02051197038142
1.592496974E9	59.54237469478527
