#Coverage (X)	Coverage
1.0	1.5359452204827306
2.0	0.48432165570031316
3.0	0.2533982153593257
4.0	0.1771696661963631
5.0	0.13369529930051272
6.0	0.10613959957795771
7.0	0.08648321248651314
8.0	0.07171344415186809
9.0	0.060131351504381314
10.0	0.05056880835280708
11.0	0.04265630111228802
12.0	0.036039381925562
13.0	0.030386798348999378
14.0	0.025513890372138803
15.0	0.021352426701824356
16.0	0.017803689722384775
17.0	0.014699730444590386
18.0	0.012071196494204628
19.0	0.009817305573420754
20.0	0.007941928961287203
21.0	0.006362124504249778
22.0	0.0050631168206223265
23.0	0.00399919255701775
24.0	0.0031482531622231136
25.0	0.0024563588148680537
26.0	0.0018934103203775976
27.0	0.001448826182695484
28.0	0.001103443570542595
29.0	8.360027098319733E-4
30.0	6.200498604300719E-4
31.0	4.566818847280274E-4
32.0	3.346398128343253E-4
33.0	2.4321310604591417E-4
34.0	1.770464950254791E-4
35.0	1.3091375306828468E-4
36.0	9.823370579908897E-5
37.0	7.245743948658401E-5
38.0	5.3617214803125535E-5
39.0	3.7938534674708535E-5
40.0	2.7131214011433258E-5
41.0	1.8291793523417255E-5
42.0	1.2484874957863212E-5
43.0	8.516813934988932E-6
44.0	5.4197906962372144E-6
45.0	3.3551085323324514E-6
46.0	1.9679002036809834E-6
47.0	1.0646017614135417E-6
48.0	5.484312168846373E-7
49.0	1.4210854715202004E-14
50.0	1.4210854715202004E-14
51.0	1.4210854715202004E-14
