#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	1.0024660665236481E-5
22.0	0.0
23.0	0.0
24.0	3.0073981995709444E-5
25.0	0.0
26.0	0.0
27.0	3.0073981995709444E-5
28.0	0.0
29.0	2.0049321330472963E-5
30.0	2.0049321330472963E-5
31.0	4.0098642660945925E-5
32.0	6.014796399141889E-5
33.0	1.603945706437837E-4
34.0	4.7115905126611464E-4
35.0	8.520961565451009E-4
36.0	0.0019548088297211136
37.0	0.0035788038574894243
38.0	0.006004771738476652
39.0	0.008962046634721416
40.0	0.012941836918820298
41.0	0.016590813400966378
42.0	0.019638310243198266
43.0	0.023668223830623333
44.0	0.025843575194979648
45.0	0.027186879724121336
46.0	0.028389839003949716
47.0	0.02931210778515148
48.0	0.029572748962447624
49.0	0.029091565250516274
50.0	0.02955269964111715
51.0	0.03208893878942198
52.0	0.0259939451049582
53.0	0.028670529502576335
54.0	0.029502576337790964
55.0	0.027958778595344548
56.0	0.027768310042705056
57.0	0.027577841490065563
58.0	0.028349740361288768
59.0	0.027537742847404616
60.0	0.026455079495559072
61.0	0.02647512881688955
62.0	0.026886139904164247
63.0	0.026294684924915292
64.0	0.02658540008420715
65.0	0.0254726627503659
66.0	0.024259678809872284
67.0	0.02373839645527999
68.0	0.02385869238326283
69.0	0.022605609800108263
70.0	0.021853760250215532
71.0	0.020650800970387153
72.0	0.0202798885257734
73.0	0.018685967480000804
74.0	0.01777372335946428
75.0	0.016219900956352628
76.0	0.014766325159893338
77.0	0.013473143934077832
78.0	0.01207971610160996
79.0	0.010064759307897428
80.0	0.00794955590753253
81.0	0.006876917216352227
82.0	0.005583735990536719
83.0	0.004140184854742667
84.0	0.0026665597369529043
85.0	0.001874611544399222
86.0	0.0012029592798283779
87.0	7.518495498927361E-4
88.0	4.611343906008782E-4
89.0	2.7066583796138497E-4
90.0	1.4034524931331074E-4
91.0	1.0024660665236482E-4
92.0	5.01233033261824E-5
93.0	1.0024660665236481E-5
94.0	0.0
95.0	1.0024660665236481E-5
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
